# This file is used to map phenotype names; phenotype names from the
# left column will be translated to the names from the right column
# so that phenotype names are kept consistent between different studies.
# Columns are tab delimited.
#ORIGINAL_NAME	FINAL_NAME
LYM	LYMPH
Haem.LYMabs	LYMPH
LYM %	LYMPH %
Haem.LYM_percent	LYMPH %
LYM (10^3/µl)	LYMPH
MONO (10^3/µl)	MONO
Haem.MONabs	MONO
Haem.MONO_percent	MONO %
GRAN (10^3/µl)	GRAN
Insulin pg/ml	Insulin
Biochem.Triglycerides	triglycerides
Bioch.Triglycerides	triglycerides
Trigly.	triglycerides
Tot chol.	total_cholesterol
Biochem.Tot.Cholesterol	total cholesterol
Bioch.Tot.Cholesterol	total cholesterol
FFA	free fatty acids
UC	unesterified cholesterol
Biochem.Glucose	Glucose
Bioch.Glucose	Glucose
Biochem.HDL	HDL
Bioch.HDL	HDL
Biochem.LDL	LDL
Bioch.LDL	LDL
weight	Body Weight
BW	Body Weight
sex	Sex
LDL_plus_VLDL	LDL
VLDL+LDL	LDL
Phospholipids (liver)	phospholipids (liver)
Total cholesterol (liver)	total cholesterol (liver)
Triglycerides (liver)	triglycerides (liver)
Unesterified cholesterol (liver)	unesterified cholesterol (liver)
strain	Strain
family	Strain
id	mouse_number
animal_id	mouse_number
Mouse ID	mouse_number
Animal_ID	mouse_number
SUBJECT.NAME	mouse_number
#
